[q18-control-k9] n=18 m=62 cap=48 | 126 K5s, 840 K3,3s, 0 sym generators, 4553 clauses, propagator check_at=9
    ... {'checks': 9150000, 'confl': 521967, 'model_rej': 0} 5096s
    ... {'checks': 9200000, 'confl': 523269, 'model_rej': 0} 5122s
    ... {'checks': 9250000, 'confl': 524860, 'model_rej': 0} 5150s
    ... {'checks': 9300000, 'confl': 526252, 'model_rej': 0} 5177s
    ... {'checks': 9350000, 'confl': 527806, 'model_rej': 0} 5205s
    ... {'checks': 9400000, 'confl': 528821, 'model_rej': 0} 5230s
    ... {'checks': 9450000, 'confl': 529781, 'model_rej': 0} 5255s
    ... {'checks': 9500000, 'confl': 530468, 'model_rej': 0} 5278s
    ... {'checks': 9550000, 'confl': 531154, 'model_rej': 0} 5301s
    ... {'checks': 9600000, 'confl': 532358, 'model_rej': 0} 5328s
    ... {'checks': 9650000, 'confl': 533230, 'model_rej': 0} 5352s
    ... {'checks': 9700000, 'confl': 534271, 'model_rej': 0} 5406s
    ... {'checks': 9750000, 'confl': 535373, 'model_rej': 0} 5431s
    ... {'checks': 9800000, 'confl': 536380, 'model_rej': 0} 5455s
    ... {'checks': 9850000, 'confl': 537097, 'model_rej': 0} 5478s
    ... {'checks': 9900000, 'confl': 537877, 'model_rej': 0} 5500s
    ... {'checks': 9950000, 'confl': 538982, 'model_rej': 0} 5525s
    ... {'checks': 10000000, 'confl': 539906, 'model_rej': 0} 5552s
    ... {'checks': 10050000, 'confl': 540904, 'model_rej': 0} 5577s
    ... {'checks': 10100000, 'confl': 541779, 'model_rej': 0} 5601s
    ... {'checks': 10150000, 'confl': 542631, 'model_rej': 0} 5624s
    ... {'checks': 10200000, 'confl': 543866, 'model_rej': 0} 5653s
    ... {'checks': 10250000, 'confl': 544556, 'model_rej': 0} 5675s
    ... {'checks': 10300000, 'confl': 545167, 'model_rej': 0} 5697s
    ... {'checks': 10350000, 'confl': 545832, 'model_rej': 0} 5722s
    ... {'checks': 10400000, 'confl': 546979, 'model_rej': 0} 5748s
    ... {'checks': 10450000, 'confl': 547998, 'model_rej': 0} 5775s
    ... {'checks': 10500000, 'confl': 548934, 'model_rej': 0} 5798s
    ... {'checks': 10550000, 'confl': 549839, 'model_rej': 0} 5823s
    ... {'checks': 10600000, 'confl': 550798, 'model_rej': 0} 5848s
    ... {'checks': 10650000, 'confl': 552190, 'model_rej': 0} 5876s
    ... {'checks': 10700000, 'confl': 553102, 'model_rej': 0} 5900s
    ... {'checks': 10750000, 'confl': 553419, 'model_rej': 0} 5920s
    ... {'checks': 10800000, 'confl': 554328, 'model_rej': 0} 5947s
    ... {'checks': 10850000, 'confl': 555213, 'model_rej': 0} 5972s
    ... {'checks': 10900000, 'confl': 555742, 'model_rej': 0} 5995s
    ... {'checks': 10950000, 'confl': 556629, 'model_rej': 0} 6021s
    ... {'checks': 11000000, 'confl': 557351, 'model_rej': 0} 6048s
    ... {'checks': 11050000, 'confl': 558041, 'model_rej': 0} 6072s
    ... {'checks': 11100000, 'confl': 558504, 'model_rej': 0} 6093s
    ... {'checks': 11150000, 'confl': 558989, 'model_rej': 0} 6113s
    ... {'checks': 11200000, 'confl': 559558, 'model_rej': 0} 6135s
    ... {'checks': 11250000, 'confl': 560059, 'model_rej': 0} 6154s
    ... {'checks': 11300000, 'confl': 560579, 'model_rej': 0} 6175s
    ... {'checks': 11350000, 'confl': 561490, 'model_rej': 0} 6201s
    ... {'checks': 11400000, 'confl': 562765, 'model_rej': 0} 6230s
    ... {'checks': 11450000, 'confl': 563417, 'model_rej': 0} 6255s
    ... {'checks': 11500000, 'confl': 563940, 'model_rej': 0} 6277s
    ... {'checks': 11550000, 'confl': 564322, 'model_rej': 0} 6298s
    ... {'checks': 11600000, 'confl': 564850, 'model_rej': 0} 6321s
    ... {'checks': 11650000, 'confl': 565597, 'model_rej': 0} 6346s
    ... {'checks': 11700000, 'confl': 566138, 'model_rej': 0} 6372s
    ... {'checks': 11750000, 'confl': 566632, 'model_rej': 0} 6396s
    ... {'checks': 11800000, 'confl': 567579, 'model_rej': 0} 6423s
    ... {'checks': 11850000, 'confl': 568133, 'model_rej': 0} 6448s
    ... {'checks': 11900000, 'confl': 568918, 'model_rej': 0} 6473s
    ... {'checks': 11950000, 'confl': 569471, 'model_rej': 0} 6498s
    ... {'checks': 12000000, 'confl': 569926, 'model_rej': 0} 6522s
    ... {'checks': 12050000, 'confl': 570502, 'model_rej': 0} 6548s
    ... {'checks': 12100000, 'confl': 570836, 'model_rej': 0} 6606s
    ... {'checks': 12150000, 'confl': 571220, 'model_rej': 0} 6627s
    ... {'checks': 12200000, 'confl': 571740, 'model_rej': 0} 6652s
    ... {'checks': 12250000, 'confl': 572197, 'model_rej': 0} 6675s
    ... {'checks': 12300000, 'confl': 572847, 'model_rej': 0} 6698s
    ... {'checks': 12350000, 'confl': 573415, 'model_rej': 0} 6723s
    ... {'checks': 12400000, 'confl': 573921, 'model_rej': 0} 6750s
    ... {'checks': 12450000, 'confl': 574441, 'model_rej': 0} 6774s
    ... {'checks': 12500000, 'confl': 575116, 'model_rej': 0} 6799s
    ... {'checks': 12550000, 'confl': 575815, 'model_rej': 0} 6822s
    ... {'checks': 12600000, 'confl': 576300, 'model_rej': 0} 6846s
    ... {'checks': 12650000, 'confl': 576761, 'model_rej': 0} 6868s
    ... {'checks': 12700000, 'confl': 577290, 'model_rej': 0} 6894s
    ... {'checks': 12750000, 'confl': 577851, 'model_rej': 0} 6917s
    ... {'checks': 12800000, 'confl': 578318, 'model_rej': 0} 6940s
    ... {'checks': 12850000, 'confl': 578770, 'model_rej': 0} 6962s
    ... {'checks': 12900000, 'confl': 579139, 'model_rej': 0} 6986s
    ... {'checks': 12950000, 'confl': 579466, 'model_rej': 0} 7009s
    ... {'checks': 13000000, 'confl': 579682, 'model_rej': 0} 7029s
    ... {'checks': 13050000, 'confl': 579943, 'model_rej': 0} 7049s
    ... {'checks': 13100000, 'confl': 580371, 'model_rej': 0} 7069s
    ... {'checks': 13150000, 'confl': 580950, 'model_rej': 0} 7090s
    ... {'checks': 13200000, 'confl': 581423, 'model_rej': 0} 7111s
    ... {'checks': 13250000, 'confl': 582082, 'model_rej': 0} 7135s
    ... {'checks': 13300000, 'confl': 582700, 'model_rej': 0} 7158s
    ... {'checks': 13350000, 'confl': 583116, 'model_rej': 0} 7181s
    ... {'checks': 13400000, 'confl': 583394, 'model_rej': 0} 7204s
    ... {'checks': 13450000, 'confl': 583615, 'model_rej': 0} 7223s
    ... {'checks': 13500000, 'confl': 583936, 'model_rej': 0} 7245s
    ... {'checks': 13550000, 'confl': 584229, 'model_rej': 0} 7266s
    ... {'checks': 13600000, 'confl': 584519, 'model_rej': 0} 7288s
    ... {'checks': 13650000, 'confl': 584915, 'model_rej': 0} 7311s
    ... {'checks': 13700000, 'confl': 585216, 'model_rej': 0} 7330s
    ... {'checks': 13750000, 'confl': 585564, 'model_rej': 0} 7350s
    ... {'checks': 13800000, 'confl': 586044, 'model_rej': 0} 7373s
    ... {'checks': 13850000, 'confl': 586459, 'model_rej': 0} 7392s
    ... {'checks': 13900000, 'confl': 586840, 'model_rej': 0} 7414s
    ... {'checks': 13950000, 'confl': 587297, 'model_rej': 0} 7438s
    ... {'checks': 14000000, 'confl': 587650, 'model_rej': 0} 7459s
    ... {'checks': 14050000, 'confl': 587990, 'model_rej': 0} 7481s
    ... {'checks': 14100000, 'confl': 588274, 'model_rej': 0} 7502s
    ... {'checks': 14150000, 'confl': 588641, 'model_rej': 0} 7526s
    ... {'checks': 14200000, 'confl': 589007, 'model_rej': 0} 7546s
    ... {'checks': 14250000, 'confl': 589600, 'model_rej': 0} 7568s
    ... {'checks': 14300000, 'confl': 590037, 'model_rej': 0} 7588s
    ... {'checks': 14350000, 'confl': 590538, 'model_rej': 0} 7608s
    ... {'checks': 14400000, 'confl': 590756, 'model_rej': 0} 7628s
    ... {'checks': 14450000, 'confl': 590929, 'model_rej': 0} 7648s
    ... {'checks': 14500000, 'confl': 591178, 'model_rej': 0} 7671s
    ... {'checks': 14550000, 'confl': 591520, 'model_rej': 0} 7691s
    ... {'checks': 14600000, 'confl': 591769, 'model_rej': 0} 7709s
    ... {'checks': 14650000, 'confl': 592362, 'model_rej': 0} 7732s
    ... {'checks': 14700000, 'confl': 592841, 'model_rej': 0} 7784s
    ... {'checks': 14750000, 'confl': 593287, 'model_rej': 0} 7806s
    ... {'checks': 14800000, 'confl': 593717, 'model_rej': 0} 7827s
    ... {'checks': 14850000, 'confl': 594289, 'model_rej': 0} 7850s
    ... {'checks': 14900000, 'confl': 594530, 'model_rej': 0} 7869s
    ... {'checks': 14950000, 'confl': 594868, 'model_rej': 0} 7889s
    ... {'checks': 15000000, 'confl': 595158, 'model_rej': 0} 7909s
    ... {'checks': 15050000, 'confl': 595504, 'model_rej': 0} 7931s
    ... {'checks': 15100000, 'confl': 595979, 'model_rej': 0} 7955s
    ... {'checks': 15150000, 'confl': 596316, 'model_rej': 0} 7976s
    ... {'checks': 15200000, 'confl': 596588, 'model_rej': 0} 7996s
    ... {'checks': 15250000, 'confl': 596956, 'model_rej': 0} 8018s
    ... {'checks': 15300000, 'confl': 597285, 'model_rej': 0} 8040s
    ... {'checks': 15350000, 'confl': 597668, 'model_rej': 0} 8062s
    ... {'checks': 15400000, 'confl': 597894, 'model_rej': 0} 8081s
    ... {'checks': 15450000, 'confl': 598069, 'model_rej': 0} 8102s
    ... {'checks': 15500000, 'confl': 598309, 'model_rej': 0} 8123s
    ... {'checks': 15550000, 'confl': 598709, 'model_rej': 0} 8142s
    ... {'checks': 15600000, 'confl': 598926, 'model_rej': 0} 8163s
    ... {'checks': 15650000, 'confl': 599180, 'model_rej': 0} 8184s
    ... {'checks': 15700000, 'confl': 599511, 'model_rej': 0} 8205s
    ... {'checks': 15750000, 'confl': 599782, 'model_rej': 0} 8226s
    ... {'checks': 15800000, 'confl': 600051, 'model_rej': 0} 8247s
    ... {'checks': 15850000, 'confl': 600263, 'model_rej': 0} 8269s
    ... {'checks': 15900000, 'confl': 600441, 'model_rej': 0} 8290s
    ... {'checks': 15950000, 'confl': 600599, 'model_rej': 0} 8310s
    ... {'checks': 16000000, 'confl': 600695, 'model_rej': 0} 8330s
    ... {'checks': 16050000, 'confl': 600844, 'model_rej': 0} 8367s
    ... {'checks': 16100000, 'confl': 601119, 'model_rej': 0} 8387s
    ... {'checks': 16150000, 'confl': 601216, 'model_rej': 0} 8406s
    ... {'checks': 16200000, 'confl': 601385, 'model_rej': 0} 8426s
    ... {'checks': 16250000, 'confl': 601645, 'model_rej': 0} 8447s
    ... {'checks': 16300000, 'confl': 602055, 'model_rej': 0} 8469s
    ... {'checks': 16350000, 'confl': 602544, 'model_rej': 0} 8490s
    ... {'checks': 16400000, 'confl': 602988, 'model_rej': 0} 8512s
    ... {'checks': 16450000, 'confl': 603313, 'model_rej': 0} 8533s
    ... {'checks': 16500000, 'confl': 603811, 'model_rej': 0} 8555s
    ... {'checks': 16550000, 'confl': 604176, 'model_rej': 0} 8584s
    ... {'checks': 16600000, 'confl': 604637, 'model_rej': 0} 8606s
    ... {'checks': 16650000, 'confl': 604921, 'model_rej': 0} 8627s
    ... {'checks': 16700000, 'confl': 605215, 'model_rej': 0} 8648s
    ... {'checks': 16750000, 'confl': 605495, 'model_rej': 0} 8667s
    ... {'checks': 16800000, 'confl': 605758, 'model_rej': 0} 8688s
    ... {'checks': 16850000, 'confl': 606037, 'model_rej': 0} 8711s
    ... {'checks': 16900000, 'confl': 606407, 'model_rej': 0} 8733s
    ... {'checks': 16950000, 'confl': 606587, 'model_rej': 0} 8751s
    ... {'checks': 17000000, 'confl': 606771, 'model_rej': 0} 8772s
    ... {'checks': 17050000, 'confl': 606960, 'model_rej': 0} 8801s
    ... {'checks': 17100000, 'confl': 607209, 'model_rej': 0} 8822s
    ... {'checks': 17150000, 'confl': 607285, 'model_rej': 0} 8841s
    ... {'checks': 17200000, 'confl': 607439, 'model_rej': 0} 8858s
[q18-control-k9] stats: {'checks': 17205294, 'confl': 607451, 'model_rej': 0}
[q18-control-k9] UNSAT in 8860.2s — NOT BIPLANAR (subject to control validation)
