# started Sun Aug 30 10:50:03 PDT 2026 — sym-on, nice 15, caffeinate, mem-watchdog 12%
# solver pid 57818
# 13 generators validated (12 transpositions + reflection)
# q18 SYM-ON run — git af6ab9d1ffeab20d53b6f35ccb711624f22e50ad
# input sha256 a755ab950315c52741c75dff92bd282bfbc8a800cdf6eca1477214d7714a0836
[q18-cone-c5-44333-symon] n=18 m=95 cap=48 | 243 K5s, 2502 K3,3s, 13 sym generators, 18205 clauses, propagator check_at=9
    ... {'checks': 8450000, 'confl': 736227, 'model_rej': 0} 8966s
    ... {'checks': 8500000, 'confl': 737939, 'model_rej': 0} 9032s
    ... {'checks': 8550000, 'confl': 740434, 'model_rej': 0} 9072s
    ... {'checks': 8600000, 'confl': 742050, 'model_rej': 0} 9108s
    ... {'checks': 8650000, 'confl': 744477, 'model_rej': 0} 9149s
    ... {'checks': 8700000, 'confl': 747239, 'model_rej': 0} 9195s
    ... {'checks': 8750000, 'confl': 750536, 'model_rej': 0} 9242s
    ... {'checks': 8800000, 'confl': 753403, 'model_rej': 0} 9285s
    ... {'checks': 8850000, 'confl': 755176, 'model_rej': 0} 9320s
    ... {'checks': 8900000, 'confl': 756452, 'model_rej': 0} 9351s
    ... {'checks': 8950000, 'confl': 757955, 'model_rej': 0} 9384s
    ... {'checks': 9000000, 'confl': 759890, 'model_rej': 0} 9454s
    ... {'checks': 9050000, 'confl': 761512, 'model_rej': 0} 9488s
    ... {'checks': 9100000, 'confl': 763122, 'model_rej': 0} 9522s
    ... {'checks': 9150000, 'confl': 764954, 'model_rej': 0} 9557s
    ... {'checks': 9200000, 'confl': 766358, 'model_rej': 0} 9589s
    ... {'checks': 9250000, 'confl': 768474, 'model_rej': 0} 9626s
    ... {'checks': 9300000, 'confl': 770164, 'model_rej': 0} 9660s
    ... {'checks': 9350000, 'confl': 772319, 'model_rej': 0} 9696s
    ... {'checks': 9400000, 'confl': 773800, 'model_rej': 0} 9726s
    ... {'checks': 9450000, 'confl': 775790, 'model_rej': 0} 9763s
    ... {'checks': 9500000, 'confl': 778668, 'model_rej': 0} 9808s
    ... {'checks': 9550000, 'confl': 780541, 'model_rej': 0} 9843s
    ... {'checks': 9600000, 'confl': 783989, 'model_rej': 0} 9892s
    ... {'checks': 9650000, 'confl': 786758, 'model_rej': 0} 9965s
    ... {'checks': 9700000, 'confl': 789980, 'model_rej': 0} 10015s
    ... {'checks': 9750000, 'confl': 794044, 'model_rej': 0} 10070s
    ... {'checks': 9800000, 'confl': 796227, 'model_rej': 0} 10109s
    ... {'checks': 9850000, 'confl': 797832, 'model_rej': 0} 10144s
    ... {'checks': 9900000, 'confl': 801220, 'model_rej': 0} 10193s
    ... {'checks': 9950000, 'confl': 804790, 'model_rej': 0} 10242s
    ... {'checks': 10000000, 'confl': 808260, 'model_rej': 0} 10292s
    ... {'checks': 10050000, 'confl': 811912, 'model_rej': 0} 10342s
    ... {'checks': 10100000, 'confl': 815842, 'model_rej': 0} 10394s
    ... {'checks': 10150000, 'confl': 819531, 'model_rej': 0} 10446s
    ... {'checks': 10200000, 'confl': 824862, 'model_rej': 0} 10507s
    ... {'checks': 10250000, 'confl': 828102, 'model_rej': 0} 10554s
    ... {'checks': 10300000, 'confl': 835121, 'model_rej': 0} 10633s
    ... {'checks': 10350000, 'confl': 839401, 'model_rej': 0} 10734s
    ... {'checks': 10400000, 'confl': 841944, 'model_rej': 0} 10778s
    ... {'checks': 10450000, 'confl': 845929, 'model_rej': 0} 10831s
    ... {'checks': 10500000, 'confl': 850011, 'model_rej': 0} 10886s
    ... {'checks': 10550000, 'confl': 854759, 'model_rej': 0} 10945s
    ... {'checks': 10600000, 'confl': 858240, 'model_rej': 0} 10992s
    ... {'checks': 10650000, 'confl': 861739, 'model_rej': 0} 11040s
    ... {'checks': 10700000, 'confl': 865328, 'model_rej': 0} 11093s
    ... {'checks': 10750000, 'confl': 869188, 'model_rej': 0} 11146s
    ... {'checks': 10800000, 'confl': 873386, 'model_rej': 0} 11198s
    ... {'checks': 10850000, 'confl': 876745, 'model_rej': 0} 11244s
    ... {'checks': 10900000, 'confl': 878207, 'model_rej': 0} 11278s
    ... {'checks': 10950000, 'confl': 880720, 'model_rej': 0} 11320s
    ... {'checks': 11000000, 'confl': 882651, 'model_rej': 0} 11360s
    ... {'checks': 11050000, 'confl': 885533, 'model_rej': 0} 11455s
    ... {'checks': 11100000, 'confl': 887565, 'model_rej': 0} 11543s
    ... {'checks': 11150000, 'confl': 890081, 'model_rej': 0} 11588s
    ... {'checks': 11200000, 'confl': 892218, 'model_rej': 0} 11629s
    ... {'checks': 11250000, 'confl': 894991, 'model_rej': 0} 11676s
    ... {'checks': 11300000, 'confl': 897388, 'model_rej': 0} 11720s
    ... {'checks': 11350000, 'confl': 900281, 'model_rej': 0} 11764s
    ... {'checks': 11400000, 'confl': 903860, 'model_rej': 0} 11815s
    ... {'checks': 11450000, 'confl': 907403, 'model_rej': 0} 11868s
    ... {'checks': 11500000, 'confl': 910022, 'model_rej': 0} 11912s
    ... {'checks': 11550000, 'confl': 912920, 'model_rej': 0} 11955s
    ... {'checks': 11600000, 'confl': 915464, 'model_rej': 0} 11995s
    ... {'checks': 11650000, 'confl': 918647, 'model_rej': 0} 12043s
    ... {'checks': 11700000, 'confl': 921918, 'model_rej': 0} 12142s
    ... {'checks': 11750000, 'confl': 924924, 'model_rej': 0} 12189s
    ... {'checks': 11800000, 'confl': 927590, 'model_rej': 0} 12234s
    ... {'checks': 11850000, 'confl': 929305, 'model_rej': 0} 12271s
    ... {'checks': 11900000, 'confl': 932203, 'model_rej': 0} 12319s
    ... {'checks': 11950000, 'confl': 936588, 'model_rej': 0} 12379s
    ... {'checks': 12000000, 'confl': 940958, 'model_rej': 0} 12439s
    ... {'checks': 12050000, 'confl': 944718, 'model_rej': 0} 12494s
    ... {'checks': 12100000, 'confl': 947847, 'model_rej': 0} 12545s
    ... {'checks': 12150000, 'confl': 950357, 'model_rej': 0} 12592s
    ... {'checks': 12200000, 'confl': 953963, 'model_rej': 0} 12644s
    ... {'checks': 12250000, 'confl': 958131, 'model_rej': 0} 12701s
    ... {'checks': 12300000, 'confl': 962202, 'model_rej': 0} 12756s
    ... {'checks': 12350000, 'confl': 963821, 'model_rej': 0} 12790s
    ... {'checks': 12400000, 'confl': 965957, 'model_rej': 0} 12874s
    ... {'checks': 12450000, 'confl': 969570, 'model_rej': 0} 12923s
    ... {'checks': 12500000, 'confl': 972111, 'model_rej': 0} 12966s
    ... {'checks': 12550000, 'confl': 974452, 'model_rej': 0} 13007s
    ... {'checks': 12600000, 'confl': 977456, 'model_rej': 0} 13056s
    ... {'checks': 12650000, 'confl': 980076, 'model_rej': 0} 13103s
    ... {'checks': 12700000, 'confl': 982567, 'model_rej': 0} 13147s
    ... {'checks': 12750000, 'confl': 984932, 'model_rej': 0} 13192s
    ... {'checks': 12800000, 'confl': 987949, 'model_rej': 0} 13242s
    ... {'checks': 12850000, 'confl': 990793, 'model_rej': 0} 13289s
    ... {'checks': 12900000, 'confl': 994176, 'model_rej': 0} 13339s
    ... {'checks': 12950000, 'confl': 997049, 'model_rej': 0} 13387s
    ... {'checks': 13000000, 'confl': 999185, 'model_rej': 0} 13427s
    ... {'checks': 13050000, 'confl': 1000914, 'model_rej': 0} 13532s
    ... {'checks': 13100000, 'confl': 1002836, 'model_rej': 0} 13571s
    ... {'checks': 13150000, 'confl': 1005727, 'model_rej': 0} 13618s
    ... {'checks': 13200000, 'confl': 1009151, 'model_rej': 0} 13667s
    ... {'checks': 13250000, 'confl': 1010816, 'model_rej': 0} 13701s
    ... {'checks': 13300000, 'confl': 1013355, 'model_rej': 0} 13745s
    ... {'checks': 13350000, 'confl': 1015819, 'model_rej': 0} 13790s
    ... {'checks': 13400000, 'confl': 1017702, 'model_rej': 0} 13828s
    ... {'checks': 13450000, 'confl': 1020473, 'model_rej': 0} 13876s
    ... {'checks': 13500000, 'confl': 1022597, 'model_rej': 0} 13920s
    ... {'checks': 13550000, 'confl': 1025069, 'model_rej': 0} 13963s
    ... {'checks': 13600000, 'confl': 1026796, 'model_rej': 0} 13999s
    ... {'checks': 13650000, 'confl': 1029217, 'model_rej': 0} 14045s
    ... {'checks': 13700000, 'confl': 1031088, 'model_rej': 0} 14084s
    ... {'checks': 13750000, 'confl': 1032793, 'model_rej': 0} 14197s
    ... {'checks': 13800000, 'confl': 1035401, 'model_rej': 0} 14245s
    ... {'checks': 13850000, 'confl': 1037834, 'model_rej': 0} 14293s
    ... {'checks': 13900000, 'confl': 1039917, 'model_rej': 0} 14335s
    ... {'checks': 13950000, 'confl': 1042457, 'model_rej': 0} 14381s
    ... {'checks': 14000000, 'confl': 1044566, 'model_rej': 0} 14424s
    ... {'checks': 14050000, 'confl': 1046998, 'model_rej': 0} 14467s
    ... {'checks': 14100000, 'confl': 1049348, 'model_rej': 0} 14509s
    ... {'checks': 14150000, 'confl': 1051750, 'model_rej': 0} 14552s
    ... {'checks': 14200000, 'confl': 1053463, 'model_rej': 0} 14589s
    ... {'checks': 14250000, 'confl': 1055457, 'model_rej': 0} 14626s
    ... {'checks': 14300000, 'confl': 1057706, 'model_rej': 0} 14667s
    ... {'checks': 14350000, 'confl': 1059133, 'model_rej': 0} 14702s
    ... {'checks': 14400000, 'confl': 1060675, 'model_rej': 0} 14739s
    ... {'checks': 14450000, 'confl': 1062365, 'model_rej': 0} 14871s
    ... {'checks': 14500000, 'confl': 1063864, 'model_rej': 0} 14912s
    ... {'checks': 14550000, 'confl': 1065219, 'model_rej': 0} 14947s
    ... {'checks': 14600000, 'confl': 1067504, 'model_rej': 0} 14992s
    ... {'checks': 14650000, 'confl': 1068529, 'model_rej': 0} 15025s
    ... {'checks': 14700000, 'confl': 1070924, 'model_rej': 0} 15071s
    ... {'checks': 14750000, 'confl': 1073392, 'model_rej': 0} 15118s
    ... {'checks': 14800000, 'confl': 1075827, 'model_rej': 0} 15165s
    ... {'checks': 14850000, 'confl': 1078164, 'model_rej': 0} 15210s
    ... {'checks': 14900000, 'confl': 1081337, 'model_rej': 0} 15266s
    ... {'checks': 14950000, 'confl': 1084148, 'model_rej': 0} 15381s
    ... {'checks': 15000000, 'confl': 1086476, 'model_rej': 0} 15426s
    ... {'checks': 15050000, 'confl': 1089469, 'model_rej': 0} 15480s
    ... {'checks': 15100000, 'confl': 1091685, 'model_rej': 0} 15523s
    ... {'checks': 15150000, 'confl': 1093791, 'model_rej': 0} 15565s
    ... {'checks': 15200000, 'confl': 1096518, 'model_rej': 0} 15676s
    ... {'checks': 15250000, 'confl': 1101974, 'model_rej': 0} 15743s
    ... {'checks': 15300000, 'confl': 1104526, 'model_rej': 0} 15792s
    ... {'checks': 15350000, 'confl': 1105768, 'model_rej': 0} 15826s
    ... {'checks': 15400000, 'confl': 1108097, 'model_rej': 0} 15874s
    ... {'checks': 15450000, 'confl': 1110693, 'model_rej': 0} 15921s
    ... {'checks': 15500000, 'confl': 1113232, 'model_rej': 0} 15968s
    ... {'checks': 15550000, 'confl': 1115046, 'model_rej': 0} 16008s
    ... {'checks': 15600000, 'confl': 1116620, 'model_rej': 0} 16046s
    ... {'checks': 15650000, 'confl': 1118877, 'model_rej': 0} 16092s
    ... {'checks': 15700000, 'confl': 1120610, 'model_rej': 0} 16132s
    ... {'checks': 15750000, 'confl': 1121928, 'model_rej': 0} 16188s
    ... {'checks': 15800000, 'confl': 1123604, 'model_rej': 0} 16226s
    ... {'checks': 15850000, 'confl': 1127980, 'model_rej': 0} 16281s
    ... {'checks': 15900000, 'confl': 1130729, 'model_rej': 0} 16329s
    ... {'checks': 15950000, 'confl': 1133105, 'model_rej': 0} 16480s
    ... {'checks': 16000000, 'confl': 1135257, 'model_rej': 0} 16524s
    ... {'checks': 16050000, 'confl': 1139023, 'model_rej': 0} 16573s
    ... {'checks': 16100000, 'confl': 1141665, 'model_rej': 0} 16616s
    ... {'checks': 16150000, 'confl': 1145308, 'model_rej': 0} 16670s
    ... {'checks': 16200000, 'confl': 1147466, 'model_rej': 0} 16714s
    ... {'checks': 16250000, 'confl': 1148801, 'model_rej': 0} 16750s
    ... {'checks': 16300000, 'confl': 1151340, 'model_rej': 0} 16798s
    ... {'checks': 16350000, 'confl': 1153240, 'model_rej': 0} 16841s
    ... {'checks': 16400000, 'confl': 1155399, 'model_rej': 0} 16887s
    ... {'checks': 16450000, 'confl': 1156887, 'model_rej': 0} 16927s
    ... {'checks': 16500000, 'confl': 1159054, 'model_rej': 0} 16974s
    ... {'checks': 16550000, 'confl': 1161515, 'model_rej': 0} 17021s
    ... {'checks': 16600000, 'confl': 1163075, 'model_rej': 0} 17059s
    ... {'checks': 16650000, 'confl': 1165251, 'model_rej': 0} 17105s
    ... {'checks': 16700000, 'confl': 1166887, 'model_rej': 0} 17213s
    ... {'checks': 16750000, 'confl': 1168801, 'model_rej': 0} 17256s
    ... {'checks': 16800000, 'confl': 1170996, 'model_rej': 0} 17302s
    ... {'checks': 16850000, 'confl': 1173648, 'model_rej': 0} 17349s
    ... {'checks': 16900000, 'confl': 1175829, 'model_rej': 0} 17396s
    ... {'checks': 16950000, 'confl': 1178369, 'model_rej': 0} 17445s
    ... {'checks': 17000000, 'confl': 1180592, 'model_rej': 0} 17488s
    ... {'checks': 17050000, 'confl': 1182662, 'model_rej': 0} 17531s
    ... {'checks': 17100000, 'confl': 1184025, 'model_rej': 0} 17569s
    ... {'checks': 17150000, 'confl': 1185437, 'model_rej': 0} 17608s
    ... {'checks': 17200000, 'confl': 1188211, 'model_rej': 0} 17656s
    ... {'checks': 17250000, 'confl': 1189942, 'model_rej': 0} 17697s
    ... {'checks': 17300000, 'confl': 1192035, 'model_rej': 0} 17740s
    ... {'checks': 17350000, 'confl': 1194121, 'model_rej': 0} 17782s
    ... {'checks': 17400000, 'confl': 1196610, 'model_rej': 0} 17826s
    ... {'checks': 17450000, 'confl': 1198904, 'model_rej': 0} 17872s
    ... {'checks': 17500000, 'confl': 1201346, 'model_rej': 0} 18006s
